track	panel	chr	hap	sample	ancestry	n_sites	n_correct	concordance	n_pred	n_fp	n_fn
NAT	NAT_HGDP	20	1	sim_001	NAT	848	815	0.9610849056603774	861	46	33
NAT	NAT_HGDP	20	1	sim_001	EUR	3758	3457	0.9199042043640234	3496	39	301
NAT	NAT_HGDP	20	1	sim_001	AFR	4875	4869	0.9987692307692307	5124	255	6
NAT	NAT_HGDP	20	2	sim_001	NAT	296	239	0.8074324324324325	239	0	57
NAT	NAT_HGDP	20	2	sim_001	EUR	6754	6664	0.9866745632217945	6808	144	90
NAT	NAT_HGDP	20	2	sim_001	AFR	2431	2344	0.9642122583299054	2434	90	87
NAT	NAT_HGDP	20	3	sim_002	NAT	856	856	1	914	58	0
NAT	NAT_HGDP	20	3	sim_002	EUR	5017	4959	0.9884393063583815	5016	57	58
NAT	NAT_HGDP	20	3	sim_002	AFR	3608	3551	0.9842017738359202	3551	0	57
NAT	NAT_HGDP	20	4	sim_002	NAT	1577	1577	1	1607	30	0
NAT	NAT_HGDP	20	4	sim_002	EUR	3685	3563	0.9668928086838534	3563	0	122
NAT	NAT_HGDP	20	4	sim_002	AFR	4219	4219	1	4311	92	0
NAT	NAT_HGDP	20	5	sim_003	NAT	4041	2743	0.6787923781242267	2806	63	1298
NAT	NAT_HGDP	20	5	sim_003	EUR	4102	4012	0.9780594831789371	5459	1447	90
NAT	NAT_HGDP	20	5	sim_003	AFR	1338	1186	0.8863976083707026	1216	30	152
NAT	NAT_HGDP	20	6	sim_003	EUR	5416	5095	0.9407311669128509	5223	128	321
NAT	NAT_HGDP	20	6	sim_003	AFR	4065	3937	0.9685116851168512	4258	321	128
NAT	NAT_HGDP	20	7	sim_004	NAT	1471	1456	0.9898028552005439	1580	124	15
NAT	NAT_HGDP	20	7	sim_004	EUR	7529	7360	0.9775534599548413	7375	15	169
NAT	NAT_HGDP	20	7	sim_004	AFR	481	481	1	526	45	0
NAT	NAT_HGDP	20	8	sim_004	NAT	2350	1307	0.5561702127659575	1307	0	1043
NAT	NAT_HGDP	20	8	sim_004	EUR	7131	7007	0.9826111344832422	8005	998	124
NAT	NAT_HGDP	20	9	sim_005	NAT	169	97	0.5739644970414202	97	0	72
NAT	NAT_HGDP	20	9	sim_005	EUR	8611	8485	0.9853675531297178	8561	76	126
NAT	NAT_HGDP	20	9	sim_005	AFR	701	697	0.9942938659058488	823	126	4
NAT	NAT_HGDP	20	10	sim_005	NAT	1982	1935	0.9762865792129163	2100	165	47
NAT	NAT_HGDP	20	10	sim_005	EUR	5651	5326	0.942488055211467	5474	148	325
NAT	NAT_HGDP	20	10	sim_005	AFR	1848	1627	0.8804112554112554	1907	280	221
NAT	NAT_HGDP	20	11	sim_006	EUR	7075	6463	0.9134982332155477	6463	0	612
NAT	NAT_HGDP	20	11	sim_006	AFR	2406	2354	0.9783873649210307	2518	164	52
NAT	NAT_HGDP	20	12	sim_006	NAT	2321	2246	0.967686342093925	2274	28	75
